"question_id","question_type","excluded_as_ku","is_abstention","n_evidence_sessions","n_has_answer_turns","target_determinacy_flag","target_determinacy_reason","single_source_localizable_flag","localizable_reason","evidence_session_id","evidence_turn_indices","determinacy_filter_pass"
"1903aded","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_hA7AkP3_0","[1]","True"
"195a1a1b","single-session-preference","False","False","1","1","True","","True","","answer_6dc4305e","[4]","True"
"19b5f2b3","single-session-user","False","False","1","1","True","","True","","answer_5ff494b9","[2]","True"
"19b5f2b3_abs","single-session-user","False","True","1","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","no has_answer turn found within the single evidence session","","[]","False"
"1a1907b4","single-session-preference","False","False","1","1","True","","True","","answer_719502eb","[2]","True"
"1a8a66a6","multi-session","False","False","4","3","True","","False","evidence spans 4 sessions, not 1","","[]","False"
"1b9b7252","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_115151","[3]","True"
"1c0ddc50","single-session-preference","False","False","1","2","True","","True","","answer_8da8c7e0","[0, 4]","True"
"1c549ce4","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"1cea1afa","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"1d4da289","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_348449","[1]","True"
"1d4e3b97","single-session-preference","False","False","1","2","True","","True","","answer_e6b6353d","[2, 4]","True"
"1da05512","single-session-preference","False","False","1","2","True","","True","","answer_4d3be2ab","[0, 4]","True"
"1de5cff2","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_440262","[7]","True"
"1e043500","single-session-user","False","False","1","1","True","","True","","answer_3e012175","[2]","True"
"1f2b8d4f","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"1faac195","single-session-user","False","False","1","1","True","","True","","answer_d01949bf","[2]","True"
"2133c1b5","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"2133c1b5_abs","knowledge-update","True","True","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"21436231","single-session-user","False","False","1","1","True","","True","","answer_1e6d4567","[2]","True"
"21d02d0d","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"22d2cb42","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"2311e44b","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"2311e44b_abs","multi-session","False","True","2","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 2 sessions, not 1","","[]","False"
"2318644b","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"25e5aa4f","single-session-user","False","False","1","1","True","","True","","answer_986de8c3","[4]","True"
"2698e78f","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"2698e78f_abs","knowledge-update","True","True","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"26bdc477","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"27016adc","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"2788b940","multi-session","False","False","4","5","True","","False","evidence spans 4 sessions, not 1","","[]","False"
"28bcfaac","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_446979","[3]","True"
"28dc39ac","multi-session","False","False","5","5","True","","False","evidence spans 5 sessions, not 1","","[]","False"
"29f2956b","single-session-user","False","False","1","1","True","","True","","answer_7cc5362f","[0]","True"
"29f2956b_abs","single-session-user","False","True","1","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","no has_answer turn found within the single evidence session","","[]","False"
"2a1811e2","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"2b8f3739","multi-session","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"2bf43736","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_2kpncbX_13","[8]","True"
"2c63a862","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"2ce6a0f2","multi-session","False","False","4","4","True","","False","evidence spans 4 sessions, not 1","","[]","False"
"2e6d26dc","multi-session","False","False","4","4","True","","False","evidence spans 4 sessions, not 1","","[]","False"
"2ebe6c90","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"2ebe6c92","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"311778f1","single-session-user","False","False","1","1","True","","True","","answer_e40b054e","[2]","True"
"32260d93","single-session-preference","False","False","1","1","True","","True","","answer_0250ae1c","[0]","True"
"3249768e","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_CaxTGYP_0","[3]","True"
"352ab8bd","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_NoDZzot_7","[0]","True"
"35a27287","single-session-preference","False","False","1","3","True","","True","","answer_9b182436","[2, 4, 12]","True"
"36580ce8","single-session-user","False","False","1","1","True","","True","","answer_93e1bd22","[4]","True"
"36b9f61e","multi-session","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"370a8ff4","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"37d43f65","single-session-user","False","False","1","1","True","","True","","answer_55161935","[2]","True"
"37f165cf","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"38146c39","single-session-preference","False","False","1","1","True","","True","","answer_772472c8","[0]","True"
"3a704032","multi-session","False","False","3","2","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"3b6f954b","single-session-user","False","False","1","1","True","","True","","answer_94030872","[8]","True"
"3ba21379","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"3c1045c8","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"3d86fd0a","single-session-user","False","False","1","1","True","","True","","answer_19c24c11","[2]","True"
"3e321797","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_94624","[1]","True"
"3f1e9474","single-session-user","False","False","1","1","True","","True","","answer_57fc1954","[8]","True"
"3fdac837","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"3fe836c9","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"4100d0a0","single-session-user","False","False","1","1","True","","True","","answer_83c13ff9","[2]","True"
"41275add","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_81riySf_0","[1]","True"
"41698283","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"42ec0761","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"4388e9dd","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_qTi81nS_0","[0]","True"
"45dc21b6","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"46a3abf7","multi-session","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"488d3006","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_275993","[5]","True"
"4adc0475","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"4b24c848","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"4baee567","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_i9adwQn_0","[11]","True"
"4bc144e2","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"4c36ccef","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_448704","[3]","True"
"4d6b87c8","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"4dfccbf7","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"4dfccbf8","temporal-reasoning","False","False","2","1","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"4f54b7c9","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"4fd1909e","single-session-user","False","False","1","1","True","","True","","answer_2952aee4","[2]","True"
"5025383b","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"505af2f5","single-session-preference","False","False","1","1","True","","True","","answer_f3164f2c","[0]","True"
"50635ada","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"51a45a95","single-session-user","False","False","1","1","True","","True","","answer_d61669c7","[4]","True"
"51b23612","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_427265","[1]","True"
"51c32626","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"54026fce","single-session-preference","False","False","1","1","True","","True","","answer_f7b22c66","[0]","True"
"545bd2b5","single-session-user","False","False","1","1","True","","True","","answer_47ffab4c","[4]","True"
"55241a1f","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"561fabcd","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_hChsWOp_97","[5]","True"
"577d4d32","single-session-user","False","False","1","1","True","","True","","answer_0dd4d99a","[4]","True"
"57f827a0","single-session-preference","False","False","1","1","True","","True","","answer_1bde8d3b","[0]","True"
"5809eb10","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_4aJsGCH_0","[0]","True"
"5831f84d","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"58470ed2","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_U4oCSfU_7","[0]","True"
"58bf7951","single-session-user","False","False","1","1","True","","True","","answer_355c48bb","[4]","True"
"58ef2f1c","single-session-user","False","False","1","1","True","","True","","answer_59547700","[8]","True"
"59524333","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"5a4f22c0","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"5a7937c8","multi-session","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"5c40ec5b","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"5d3d2817","single-session-user","False","False","1","1","True","","True","","answer_235eb6fb","[4]","True"
"5e1b23de","temporal-reasoning","False","False","1","1","True","","True","","answer_c18d480b_1","[6]","True"
"60036106","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"60159905","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"603deb26","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"60472f9c","multi-session","False","False","3","2","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"6071bd76","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"60bf93ed","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"60bf93ed_abs","multi-session","False","True","2","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 2 sessions, not 1","","[]","False"
"60d45044","single-session-user","False","False","1","1","True","","True","","answer_9cddca88","[4]","True"
"618f13b2","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"61f8c8f8","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"6222b6eb","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_H9PiM5G_0","[11]","True"
"6456829e","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"6456829e_abs","multi-session","False","True","2","1","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 2 sessions, not 1","","[]","False"
"65240037","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_403752","[9]","True"
"6613b389","temporal-reasoning","False","False","3","2","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"66f24dbb","single-session-user","False","False","1","1","True","","True","","answer_fea2e4d3","[4]","True"
"67e0d0f2","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"681a1674","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"69fee5aa","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"6a1eabeb","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"6a27ffc2","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"6ade9755","single-session-user","False","False","1","1","True","","True","","answer_9398da02","[4]","True"
"6ae235be","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_IUWQYGQ_0","[1]","True"
"6aeb4375","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"6aeb4375_abs","knowledge-update","True","True","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"6b168ec8","single-session-user","False","False","1","1","True","","True","","answer_e623ae87","[4]","True"
"6b7dfb22","single-session-preference","False","False","1","1","True","","True","","answer_f6502d0f","[12]","True"
"6c49646a","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"6cb6f249","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"6d550036","multi-session","False","False","4","4","True","","False","evidence spans 4 sessions, not 1","","[]","False"
"6e984301","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"6e984302","temporal-reasoning","False","False","2","1","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"6f9b354f","single-session-user","False","False","1","1","True","","True","","answer_feb5200f","[2]","True"
"7024f17c","multi-session","False","False","3","2","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"70b3e69b","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_334948","[5]","True"
"71017276","temporal-reasoning","False","False","1","1","True","","True","","answer_0b4a8adc_1","[0]","True"
"71017277","temporal-reasoning","False","False","1","1","True","","True","","answer_0b4a8adc_1","[0]","True"
"71315a70","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"7161e7e2","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_5Lzox6N_0","[13]","True"
"71a3fd6b","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_417348","[3]","True"
"720133ac","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"726462e0","single-session-user","False","False","1","1","True","","True","","answer_f38f679b","[2]","True"
"72e3ee87","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"73d42213","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"7401057b","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"7405e8b1","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"7527f7e2","single-session-user","False","False","1","1","True","","True","","answer_7cb94507","[2]","True"
"75499fd8","single-session-user","False","False","1","1","True","","True","","answer_723bf11f","[8]","True"
"75832dbd","single-session-preference","False","False","1","1","True","","True","","answer_d87a6ef8","[0]","True"
"75f70248","single-session-preference","False","False","1","1","True","","True","","answer_8ee04a2e","[2]","True"
"76d63226","single-session-user","False","False","1","1","True","","True","","answer_bbdc7b0a","[4]","True"
"778164c6","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_399000","[3]","True"
"77eafa52","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"7a87bd0c","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"7a8d0b71","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_i0tMT9q_9","[0]","True"
"7e00a6cb","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_370515","[1]","True"
"7e974930","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"8077ef71","temporal-reasoning","False","False","1","1","True","","True","","answer_0dd54b7c_1","[0]","True"
"80ec1f4f","multi-session","False","False","3","2","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"80ec1f4f_abs","multi-session","False","True","3","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 3 sessions, not 1","","[]","False"
"81507db6","multi-session","False","False","5","3","True","","False","evidence spans 5 sessions, not 1","","[]","False"
"830ce83f","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"8464fc84","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_467053","[5]","True"
"852ce960","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"853b0a1d","single-session-user","False","False","1","1","True","","True","","answer_69811d4a","[4]","True"
"8550ddae","single-session-user","False","False","1","1","True","","True","","answer_c8354ae9","[2]","True"
"85fa3a3f","multi-session","False","False","2","3","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"86b68151","single-session-user","False","False","1","1","True","","True","","answer_dc11c1eb","[8]","True"
"86f00804","single-session-user","False","False","1","1","True","","True","","answer_96b8c9ee","[0]","True"
"8752c811","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_6pWK9yx_0","[1]","True"
"87f22b4a","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"88432d0a","multi-session","False","False","4","4","True","","False","evidence spans 4 sessions, not 1","","[]","False"
"88432d0a_abs","multi-session","False","True","4","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 4 sessions, not 1","","[]","False"
"89527b6b","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_YkWn1Ne_0","[1]","True"
"8979f9ec","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"89941a93","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"89941a94","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"8a137a7f","single-session-user","False","False","1","1","True","","True","","answer_15d63a22","[2]","True"
"8a2466db","single-session-preference","False","False","1","1","True","","True","","answer_edb03329","[0]","True"
"8aef76bc","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_563222","[1]","True"
"8b9d4367","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_289157","[3]","True"
"8c18457d","temporal-reasoning","False","False","2","3","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"8cf4d046","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"8cf51dda","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_HFMn2ZX_0","[1]","True"
"8e91e7d9","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"8e9d538c","single-session-user","False","False","1","2","True","","True","","answer_7bdcbd23","[2, 3]","True"
"8ebdbe50","single-session-user","False","False","1","1","True","","True","","answer_8ad8a34f","[2]","True"
"8fb83627","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"91b15a6e","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"92a0aa75","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"945e3d21","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"94f70d80","single-session-user","False","False","1","1","True","","True","","answer_c63c0458","[2]","True"
"95228167","single-session-preference","False","False","1","1","True","","True","","answer_5e613445","[0]","True"
"95bcc1c8","single-session-user","False","False","1","1","True","","True","","answer_cb742a61","[0]","True"
"982b5123","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"982b5123_abs","temporal-reasoning","False","True","2","1","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 2 sessions, not 1","","[]","False"
"993da5e2","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
