item_id,pool,question_type,condition,candidate_response,judge_verdict,judge_rationale,review_priority,human_verdict,human_notes
0862e8bf,main_sufficiency_pool,single-session-user,full,Luna,correct,"The candidate response 'Luna' is directly supported by the evidence, which states that the cat's name is Luna.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
16c90bf4,main_sufficiency_pool,single-session-assistant,noev,I recommended using a light lager or a pale ale.,incorrect,"The evidence specifically mentions using a pilsner or lager, but does not support the recommendation of a pale ale.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
16c90bf4,main_sufficiency_pool,single-session-assistant,full,I recommended using a pilsner or lager.,correct,"The candidate response accurately states that a pilsner or lager is recommended, which is supported by the evidence.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
1903aded,main_sufficiency_pool,single-session-assistant,noev,The 7th job in the list was not specified in the provided context.,incorrect,"The candidate response incorrectly states that the 7th job was not specified, while the evidence clearly lists 'Transcriptionist' as the 7th job.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
1903aded,main_sufficiency_pool,single-session-assistant,full,Transcriptionist,correct,The candidate response 'Transcriptionist' matches the 7th job listed in the evidence provided.,,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
1b9b7252,main_sufficiency_pool,single-session-assistant,noev,I don't have the specific website details from our previous conversation.,incorrect,"The candidate response does not provide the specific website mentioned in the evidence, which is Mindful.org, that offers free exercises like 'The Mountain Meditation' and 'The Body Scan Meditation.'",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
1b9b7252,main_sufficiency_pool,single-session-assistant,full,Mindful.org,correct,"The candidate response 'Mindful.org' is supported by the evidence, which states that this website includes guided imagery exercises such as 'The Mountain Meditation' and 'The Body Scan Meditation.'",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
1e043500,main_sufficiency_pool,single-session-user,noev,The context does not provide the name of the playlist you created on Spotify.,incorrect,The candidate response incorrectly states that the context does not provide the name of the playlist. The evidence clearly states that the playlist is called 'Summer Vibes'.,,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
1e043500,main_sufficiency_pool,single-session-user,full,Summer Vibes,correct,The candidate response 'Summer Vibes' matches the name of the playlist mentioned in the evidence.,,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
2bf43736,main_sufficiency_pool,single-session-assistant,noev,Chapter 2 of the second part discusses vocal prayer and meditation.,incorrect,"The evidence states that Chapter 4 of Book 1 discusses vocal prayer and meditation, not Chapter 2.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
2bf43736,main_sufficiency_pool,single-session-assistant,full,Chapter 4 of Book 1 discusses vocal prayer and meditation in Tanqueray's Spiritual Life treatise.,correct,"The candidate response accurately states that Chapter 4 of Book 1 discusses vocal prayer and meditation, which is supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
311778f1,main_sufficiency_pool,single-session-user,noev,The context does not provide that information.,incorrect,"The candidate response states that the context does not provide the information, but the evidence clearly states that the user spent 10 hours watching documentaries on Netflix last month.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
311778f1,main_sufficiency_pool,single-session-user,full,You spent around 10 hours watching documentaries on Netflix last month.,correct,The candidate response accurately reflects the evidence that states the user spent 10 hours watching documentaries on Netflix last month.,,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
3d86fd0a,main_sufficiency_pool,single-session-user,noev,The context does not provide that information.,incorrect,"The candidate response states that the context does not provide the information, while the evidence clearly states that the location where the user met Sophia was a coffee shop in the city.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
3d86fd0a,main_sufficiency_pool,single-session-user,full,Coffee Shop (City),correct,"The candidate response 'Coffee Shop (City)' accurately reflects the information provided in the evidence, which states that the location where the user met Sophia was a coffee shop in the city.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
488d3006,main_sufficiency_pool,single-session-assistant,noev,"The hiking trail I recommended is the ""Sendero de los Cañones.""",incorrect,"The evidence supports that the recommended hiking trail is the GR-90, not the 'Sendero de los Cañones.'",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
488d3006,main_sufficiency_pool,single-session-assistant,full,The hiking trail I recommended is the GR-90.,correct,"The candidate response correctly states the name of the hiking trail, GR-90, which is supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
58bf7951,main_sufficiency_pool,single-session-user,noev,The context does not provide information about the play you attended.,incorrect,"The candidate response incorrectly states that the context does not provide information about the play attended, while the evidence clearly states that the play was 'The Glass Menagerie'.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
58bf7951,main_sufficiency_pool,single-session-user,full,The Glass Menagerie.,correct,"The candidate response states the play 'The Glass Menagerie,' which is directly supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
6ae235be,main_sufficiency_pool,single-session-assistant,noev,"The Lake Charles Refinery uses processes such as crude distillation, hydrocracking, and catalytic reforming.",incorrect,The candidate response incorrectly states 'hydrocracking' and 'catalytic reforming' as processes used at the Lake Charles Refinery. The evidence lists 'fluid catalytic cracking (FCC)' instead of 'catalytic reforming' and does not mention 'hydrocracking' as a process used at this refinery.,,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
6ae235be,main_sufficiency_pool,single-session-assistant,full,"The Lake Charles Refinery uses atmospheric distillation, fluid catalytic cracking (FCC), alkylation, and hydrotreating processes.",correct,The candidate response accurately lists the refining processes used at the Lake Charles Refinery as stated in the evidence.,,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
7a8d0b71,main_sufficiency_pool,single-session-assistant,noev,The allocated amount for influencer marketing in the DHL Wellness Retreats campaign plan was not specified in our previous chat.,incorrect,"The evidence clearly states that the budget allocated for influencer marketing is $2,000, which contradicts the candidate's response that the amount was not specified.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
7a8d0b71,main_sufficiency_pool,single-session-assistant,full,"$2,000",correct,"$2,000 is the amount allocated for influencer marketing as stated in the evidence.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
86b68151,main_sufficiency_pool,single-session-user,noev,I don't have that information.,incorrect,"The candidate response does not provide the information that the new bookshelf is from IKEA, which is supported by the evidence.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
86b68151,main_sufficiency_pool,single-session-user,full,You bought your new bookshelf from IKEA.,correct,"The candidate response accurately states that the new bookshelf is from IKEA, which is directly supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
ad7109d1,main_sufficiency_pool,single-session-user,noev,The speed of your new internet plan is not specified in the provided context.,incorrect,"The evidence clearly states that the user upgraded to 500 Mbps, which specifies the speed of the new internet plan.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
ad7109d1,main_sufficiency_pool,single-session-user,full,Your new internet plan is 500 Mbps.,correct,"The candidate response accurately states the internet speed of 500 Mbps, which is directly supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
b86304ba,main_sufficiency_pool,single-session-user,noev,The worth of the painting is equal to the amount you paid for it.,incorrect,"The evidence states that the painting is worth triple what was paid for it, not equal to the amount paid.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
b86304ba,main_sufficiency_pool,single-session-user,full,The painting of a sunset is worth triple the amount you paid for it.,correct,"The candidate response accurately states that the painting of a sunset is worth triple the amount paid for it, which is directly supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
bc8a6e93,main_sufficiency_pool,single-session-user,noev,The context does not provide that information.,incorrect,The candidate response incorrectly states that the context does not provide the information. The evidence clearly states that the user baked a lemon blueberry cake for their niece's birthday party.,,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
bc8a6e93,main_sufficiency_pool,single-session-user,full,You made a lemon blueberry cake for your niece's birthday party.,correct,"The candidate response accurately states that the user made a lemon blueberry cake for their niece's birthday party, which is directly supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
c14c00dd,main_sufficiency_pool,single-session-user,noev,The context does not provide that information.,incorrect,"The candidate response does not provide the specific brand of shampoo mentioned in the evidence, which indicates that the user is using a lavender scented shampoo from Trader Joe's. Therefore, the response is not supported by the evidence.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
c14c00dd,main_sufficiency_pool,single-session-user,full,You currently use a lavender scented shampoo.,correct,"The candidate response accurately states that the user currently uses a lavender scented shampoo, which is supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
caf9ead2,main_sufficiency_pool,single-session-user,noev,The context does not provide that information.,incorrect,"The candidate response incorrectly states that the context does not provide the information about how long it took to move to the new apartment, while the evidence clearly states it took around 5 hours.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
caf9ead2,main_sufficiency_pool,single-session-user,full,It took around 5 hours to move everything into the new apartment.,correct,"The candidate response accurately states that it took around 5 hours to move everything into the new apartment, which is directly supported by the evidence provided.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
e9327a54,main_sufficiency_pool,single-session-assistant,noev,"The dessert shop with the giant milkshakes is called ""The Toothsome Chocolate Emporium.""",incorrect,"The evidence supports that the dessert shop with giant milkshakes is 'The Sugar Factory,' not 'The Toothsome Chocolate Emporium.'",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
e9327a54,main_sufficiency_pool,single-session-assistant,full,The Sugar Factory.,correct,"The candidate response 'The Sugar Factory' is supported by the evidence, which mentions it as a dessert shop that offers giant milkshakes.",,CONSISTENT_WITH_FULL_CEILING,"Sheet-level review: full response matches oracle-level answer per judge rationale; confirms C_full=C_oracle is a null span contrast on this pool, subject to source-level check."
07b6f563,preference_exploratory,single-session-preference,noev,"Consider a protective case, screen protector, portable charger, and wireless earbuds.",incorrect,"The evidence specifically mentions a screen protector and a phone wallet case, but the candidate response includes a protective case, portable charger, and wireless earbuds, which are not supported by the evidence.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
07b6f563,preference_exploratory,single-session-preference,full,"Some useful accessories for your phone include a screen protector, phone case, portable power bank, car mount, wireless earbuds, charging cables, and a phone stand.",incorrect,"The candidate response includes accessories that are not mentioned in the evidence, such as a portable power bank, car mount, wireless earbuds, charging cables, and a phone stand. The evidence only supports the suggestion of a screen protector and a phone wallet case.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
38146c39,preference_exploratory,single-session-preference,noev,Try adding a pinch of sea salt or a splash of vanilla extract for extra flavor.,incorrect,"The evidence discusses experimenting with turbinado sugar for a richer flavor and asks for suggestions on other ingredients, but it does not specifically mention adding sea salt or vanilla extract as enhancements.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
38146c39,preference_exploratory,single-session-preference,oracle,Consider adding a pinch of sea salt or a splash of vanilla extract to enhance the flavor.,incorrect,"The evidence discusses experimenting with turbinado sugar for a richer flavor but does not mention adding sea salt or vanilla extract as suggestions. Therefore, the candidate response does not directly support the evidence provided.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
38146c39,preference_exploratory,single-session-preference,full,"Consider adding a pinch of sea salt, a splash of vanilla extract, or incorporating nuts or oats for added texture and flavor.",incorrect,"The candidate response suggests adding sea salt, vanilla extract, nuts, or oats, which are not mentioned in the evidence. The evidence specifically discusses experimenting with turbinado sugar and asks for suggestions to enhance flavor, but does not provide or support the specific ingredients listed in the candidate response.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
a89d7624,preference_exploratory,single-session-preference,noev,"Visit the Denver Art Museum, explore the Denver Botanic Gardens, and take a stroll in the historic Larimer Square.",incorrect,"The candidate response suggests visiting the Denver Art Museum, Denver Botanic Gardens, and Larimer Square, which are not mentioned in the evidence provided. The evidence focuses on the music scene and concerts in Denver, not on art or gardens.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
a89d7624,preference_exploratory,single-session-preference,full,"Explore Red Rocks Amphitheater, visit the Denver Art Museum, stroll through the Denver Botanic Gardens, and check out local breweries and the vibrant food scene.",incorrect,"The candidate response suggests activities (visiting the Denver Art Museum, strolling through the Denver Botanic Gardens, checking out local breweries) that are not mentioned in the evidence. The evidence specifically discusses the music scene and concerts, but does not support the other activities listed in the candidate response.",,CONSISTENT_WITH_PREFERENCE_DRIFT_OR_FORMAT_FAIL,Sheet-level review: judged incorrect because response includes unsupported generic additions or fails to reproduce the preference/gold framing. Supports treating preference as exploratory diagnostic only.
